OBJECTID,Name,Population,desc_,attribute,attr_date,metric,value,rep_date,Shape__Area,Shape__Length
24,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/5/2020,Cases,3,3/17/2020,28.0394250010993,22.0199204177256
25,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/6/2020,Cases,13,3/17/2020,28.0394250010993,22.0199204177256
26,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/7/2020,Cases,11,3/17/2020,28.0394250010993,22.0199204177256
27,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/8/2020,Cases,16,3/17/2020,28.0394250010993,22.0199204177256
28,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/9/2020,Cases,11,3/17/2020,28.0394250010993,22.0199204177256
29,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/10/2020,Cases,21,3/17/2020,28.0394250010993,22.0199204177256
30,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/11/2020,Cases,8,3/17/2020,28.0394250010993,22.0199204177256
31,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/12/2020,Cases,2,3/17/2020,28.0394250010993,22.0199204177256
32,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.46,3/18/2020,28.0394250010993,22.0199204177256
33,Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,4.17,3/18/2020,28.0394250010993,22.0199204177256
34,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,12.5,3/18/2020,28.0394250010993,22.0199204177256
35,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,18.52,3/18/2020,28.0394250010993,22.0199204177256
36,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,18.98,3/18/2020,28.0394250010993,22.0199204177256
37,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18.52,3/18/2020,28.0394250010993,22.0199204177256
38,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,13.43,3/18/2020,28.0394250010993,22.0199204177256
39,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,8.33,3/18/2020,28.0394250010993,22.0199204177256
40,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,3.24,3/18/2020,28.0394250010993,22.0199204177256
41,Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,1.85,3/18/2020,28.0394250010993,22.0199204177256
42,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/18/2020,Cases,1,3/18/2020,28.0394250010993,22.0199204177256
43,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/19/2020,Cases,1,3/18/2020,28.0394250010993,22.0199204177256
44,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/20/2020,Cases,3,3/18/2020,28.0394250010993,22.0199204177256
45,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/23/2020,Cases,1,3/18/2020,28.0394250010993,22.0199204177256
46,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/26/2020,Cases,1,3/18/2020,28.0394250010993,22.0199204177256
47,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/27/2020,Cases,1,3/18/2020,28.0394250010993,22.0199204177256
48,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/28/2020,Cases,2,3/18/2020,28.0394250010993,22.0199204177256
49,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/29/2020,Cases,2,3/18/2020,28.0394250010993,22.0199204177256
50,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/1/2020,Cases,9,3/18/2020,28.0394250010993,22.0199204177256
51,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/2/2020,Cases,7,3/18/2020,28.0394250010993,22.0199204177256
52,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/3/2020,Cases,10,3/18/2020,28.0394250010993,22.0199204177256
53,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/4/2020,Cases,14,3/18/2020,28.0394250010993,22.0199204177256
54,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/5/2020,Cases,3,3/18/2020,28.0394250010993,22.0199204177256
55,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/6/2020,Cases,12,3/18/2020,28.0394250010993,22.0199204177256
56,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/7/2020,Cases,11,3/18/2020,28.0394250010993,22.0199204177256
57,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/8/2020,Cases,16,3/18/2020,28.0394250010993,22.0199204177256
58,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/9/2020,Cases,12,3/18/2020,28.0394250010993,22.0199204177256
59,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/10/2020,Cases,23,3/18/2020,28.0394250010993,22.0199204177256
60,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/11/2020,Cases,10,3/18/2020,28.0394250010993,22.0199204177256
61,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/12/2020,Cases,2,3/18/2020,28.0394250010993,22.0199204177256
62,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.72,3/19/2020,28.0394250010993,22.0199204177256
63,Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,4.33,3/19/2020,28.0394250010993,22.0199204177256
64,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,13.36,3/19/2020,28.0394250010993,22.0199204177256
65,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,17.69,3/19/2020,28.0394250010993,22.0199204177256
66,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.13,3/19/2020,28.0394250010993,22.0199204177256
67,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18.05,3/19/2020,28.0394250010993,22.0199204177256
68,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,14.8,3/19/2020,28.0394250010993,22.0199204177256
69,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,9.03,3/19/2020,28.0394250010993,22.0199204177256
70,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,2.89,3/19/2020,28.0394250010993,22.0199204177256
71,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,2,3/19/2020,28.0394250010993,22.0199204177256
72,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,12,3/19/2020,28.0394250010993,22.0199204177256
73,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,37,3/19/2020,28.0394250010993,22.0199204177256
74,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,3,3/19/2020,28.0394250010993,22.0199204177256
75,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,46,3/19/2020,28.0394250010993,22.0199204177256
76,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,2,3/19/2020,28.0394250010993,22.0199204177256
77,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,51,3/19/2020,28.0394250010993,22.0199204177256
78,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,9,3/19/2020,28.0394250010993,22.0199204177256
79,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,41,3/19/2020,28.0394250010993,22.0199204177256
80,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,14,3/19/2020,28.0394250010993,22.0199204177256
81,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,27,3/19/2020,28.0394250010993,22.0199204177256
82,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,6,3/19/2020,28.0394250010993,22.0199204177256
83,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Not Hospitalized",,Cases,19,3/19/2020,28.0394250010993,22.0199204177256
84,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Hospitalized",,Cases,4,3/19/2020,28.0394250010993,22.0199204177256
85,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Not Hospitalized",,Cases,4,3/19/2020,28.0394250010993,22.0199204177256
86,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/18/2020,Cases,1,3/19/2020,28.0394250010993,22.0199204177256
87,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/19/2020,Cases,1,3/19/2020,28.0394250010993,22.0199204177256
88,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/20/2020,Cases,3,3/19/2020,28.0394250010993,22.0199204177256
89,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/23/2020,Cases,1,3/19/2020,28.0394250010993,22.0199204177256
90,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/26/2020,Cases,1,3/19/2020,28.0394250010993,22.0199204177256
91,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/27/2020,Cases,1,3/19/2020,28.0394250010993,22.0199204177256
92,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/28/2020,Cases,2,3/19/2020,28.0394250010993,22.0199204177256
93,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/29/2020,Cases,2,3/19/2020,28.0394250010993,22.0199204177256
94,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/1/2020,Cases,9,3/19/2020,28.0394250010993,22.0199204177256
95,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/2/2020,Cases,8,3/19/2020,28.0394250010993,22.0199204177256
96,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/3/2020,Cases,11,3/19/2020,28.0394250010993,22.0199204177256
97,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/4/2020,Cases,14,3/19/2020,28.0394250010993,22.0199204177256
98,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/5/2020,Cases,4,3/19/2020,28.0394250010993,22.0199204177256
99,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/6/2020,Cases,12,3/19/2020,28.0394250010993,22.0199204177256
100,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/7/2020,Cases,11,3/19/2020,28.0394250010993,22.0199204177256
101,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/8/2020,Cases,18,3/19/2020,28.0394250010993,22.0199204177256
102,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/9/2020,Cases,14,3/19/2020,28.0394250010993,22.0199204177256
103,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/10/2020,Cases,23,3/19/2020,28.0394250010993,22.0199204177256
104,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/11/2020,Cases,10,3/19/2020,28.0394250010993,22.0199204177256
105,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/12/2020,Cases,4,3/19/2020,28.0394250010993,22.0199204177256
106,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/13/2020,Cases,1,3/19/2020,28.0394250010993,22.0199204177256
107,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.83,3/20/2020,28.0394250010993,22.0199204177256
108,Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,4.13,3/20/2020,28.0394250010993,22.0199204177256
109,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,14.6,3/20/2020,28.0394250010993,22.0199204177256
110,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,18.18,3/20/2020,28.0394250010993,22.0199204177256
111,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,17.08,3/20/2020,28.0394250010993,22.0199204177256
112,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,17.63,3/20/2020,28.0394250010993,22.0199204177256
113,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,14.33,3/20/2020,28.0394250010993,22.0199204177256
114,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,10.19,3/20/2020,28.0394250010993,22.0199204177256
115,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,3.03,3/20/2020,28.0394250010993,22.0199204177256
116,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,3,3/20/2020,28.0394250010993,22.0199204177256
117,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,15,3/20/2020,28.0394250010993,22.0199204177256
118,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,53,3/20/2020,28.0394250010993,22.0199204177256
119,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,4,3/20/2020,28.0394250010993,22.0199204177256
120,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,62,3/20/2020,28.0394250010993,22.0199204177256
121,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,2,3/20/2020,28.0394250010993,22.0199204177256
122,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,60,3/20/2020,28.0394250010993,22.0199204177256
123,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,10,3/20/2020,28.0394250010993,22.0199204177256
124,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,54,3/20/2020,28.0394250010993,22.0199204177256
125,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,15,3/20/2020,28.0394250010993,22.0199204177256
126,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,37,3/20/2020,28.0394250010993,22.0199204177256
127,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,9,3/20/2020,28.0394250010993,22.0199204177256
128,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Not Hospitalized",,Cases,28,3/20/2020,28.0394250010993,22.0199204177256
129,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Hospitalized",,Cases,4,3/20/2020,28.0394250010993,22.0199204177256
130,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Not Hospitalized",,Cases,7,3/20/2020,28.0394250010993,22.0199204177256
131,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.63,3/21/2020,28.0394250010993,22.0199204177256
132,Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,3.16,3/21/2020,28.0394250010993,22.0199204177256
133,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,13.68,3/21/2020,28.0394250010993,22.0199204177256
134,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,17.68,3/21/2020,28.0394250010993,22.0199204177256
135,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,20,3/21/2020,28.0394250010993,22.0199204177256
136,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,16.63,3/21/2020,28.0394250010993,22.0199204177256
137,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,13.89,3/21/2020,28.0394250010993,22.0199204177256
138,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,9.68,3/21/2020,28.0394250010993,22.0199204177256
139,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,4.21,3/21/2020,28.0394250010993,22.0199204177256
140,Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,0.42,3/21/2020,28.0394250010993,22.0199204177256
141,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,3,3/21/2020,28.0394250010993,22.0199204177256
142,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,15,3/21/2020,28.0394250010993,22.0199204177256
143,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,65,3/21/2020,28.0394250010993,22.0199204177256
144,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,4,3/21/2020,28.0394250010993,22.0199204177256
145,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,80,3/21/2020,28.0394250010993,22.0199204177256
146,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,4,3/21/2020,28.0394250010993,22.0199204177256
147,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,91,3/21/2020,28.0394250010993,22.0199204177256
148,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,10,3/21/2020,28.0394250010993,22.0199204177256
149,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,69,3/21/2020,28.0394250010993,22.0199204177256
150,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,17,3/21/2020,28.0394250010993,22.0199204177256
151,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,49,3/21/2020,28.0394250010993,22.0199204177256
152,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,10,3/21/2020,28.0394250010993,22.0199204177256
153,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Not Hospitalized",,Cases,36,3/21/2020,28.0394250010993,22.0199204177256
154,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Hospitalized",,Cases,4,3/21/2020,28.0394250010993,22.0199204177256
155,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Not Hospitalized",,Cases,16,3/21/2020,28.0394250010993,22.0199204177256
156,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","Unknown, Not Hospitalized",,Cases,2,3/21/2020,28.0394250010993,22.0199204177256
157,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.85,3/22/2020,28.0394250010993,22.0199204177256
158,Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,2.88,3/22/2020,28.0394250010993,22.0199204177256
159,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,14.04,3/22/2020,28.0394250010993,22.0199204177256
160,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,17.26,3/22/2020,28.0394250010993,22.0199204177256
161,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.8,3/22/2020,28.0394250010993,22.0199204177256
162,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,16.07,3/22/2020,28.0394250010993,22.0199204177256
163,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,13.87,3/22/2020,28.0394250010993,22.0199204177256
164,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,10.15,3/22/2020,28.0394250010993,22.0199204177256
165,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,4.57,3/22/2020,28.0394250010993,22.0199204177256
166,Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,0.51,3/22/2020,28.0394250010993,22.0199204177256
167,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,5,3/22/2020,28.0394250010993,22.0199204177256
168,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,17,3/22/2020,28.0394250010993,22.0199204177256
169,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,83,3/22/2020,28.0394250010993,22.0199204177256
170,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,6,3/22/2020,28.0394250010993,22.0199204177256
171,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,96,3/22/2020,28.0394250010993,22.0199204177256
172,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,7,3/22/2020,28.0394250010993,22.0199204177256
173,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,110,3/22/2020,28.0394250010993,22.0199204177256
174,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,11,3/22/2020,28.0394250010993,22.0199204177256
175,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,84,3/22/2020,28.0394250010993,22.0199204177256
176,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,17,3/22/2020,28.0394250010993,22.0199204177256
177,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,65,3/22/2020,28.0394250010993,22.0199204177256
178,Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,12,3/22/2020,28.0394250010993,22.0199204177256
